User,Spend
16212,156.21420525843047
42809,272.6914383473568
42809,249.1332887753168
42809,368.97834770384566
51206,167.73672085424798
42809,335.3917777672746
51206,207.65684315820496
23178,190.31377987163762
23178,398.6782140224702
23178,493.7525884304544
85908,96.3627286271964
12034,1201.33072525377
86345,132.2792332518448
26988,169.26404505721578
26988,362.7270069883273
26988,651.7597837528023
16212,139.05065238483576
16212,186.48835754344745
86053,270.5500768541141
51206,518.0075136852519
55717,688.526866924904
24963,480.6090242942815
55255,302.44113852067375
69579,186.22456236259563
69579,628.9733685925005
13933,207.8763249069276
13933,155.7018640210538
15300,1108.8572956605576
19865,304.2783717082505
19865,103.79983335651413
24645,664.992520824094
24645,213.7405687254629
24645,457.5764676043998
51206,184.68518458322717
13198,1190.2812822567016
44301,75.87868938903587
51206,266.882417014169
94403,112.65844520752569
65326,203.37299246461222
39797,151.95409762096202
14045,120.19299435617373
20906,1455.1641000738302
15934,149.57447463899848
20906,579.9360898214289
27962,47.97151661638979
27962,559.7952932857116
27962,313.0623195526203
98904,763.0919119590745
90739,59.92226612323603
90739,1043.5959298854984
27260,526.2427721375363
76989,348.8519797609964
76989,204.17247441809945
76989,281.15956412920343
15549,824.6226181584445
15549,128.42925319109727
72034,403.4669997408954
56993,186.00960216700082
56993,216.59927989166923
32832,528.0532792110862
48219,220.9682224585624
48219,388.8774230565695
51206,245.677946388282
99168,376.9006646270882
89383,111.87520515586704
64689,346.4073747597658
74183,392.56393358903
74183,385.06433646330856
43588,167.36174326315486
43588,120.8208738540947
72332,158.76323876292747
64689,208.83611265508927
86647,558.0119799471821
13209,172.61703454630108
58170,517.6859694888766
13209,621.1156340379605
13209,289.14080354629533
35785,109.16807324937807
30366,478.99471378277497
30356,460.2866542948025
30366,232.82943899833091
60542,99.99240892842913
28022,383.6530191561959
28022,195.00601360363405
97260,1104.2311997564227
97260,499.91871536764717
36928,115.02857878367064
36928,304.620588785849
60542,270.95237422472445
36928,846.0509629310811
26988,126.24790698108124
26988,83.33922688896394
62118,164.90306290948226
62118,114.69133568435335
62118,165.07049958520682
91164,1289.388842631792
22958,262.8684006215201
54921,181.66922289004108
17020,119.09105396882126
17020,236.5777915417476
91781,266.35658769868184
51206,218.3312820994105
51206,245.51173837705682
39797,109.02142654588741
11929,620.3631463973613
42809,213.48745636433014
99818,1781.0300583887326
99818,717.7652844206041
99818,1339.2548988418496
77923,96.80117166838471
55429,116.51797619714094
55429,260.0078422035457
60542,108.50841801499655
56993,180.46385830897884
48219,386.5641323123583
48219,557.1472761802512
48219,748.9980687730125
85908,208.35600563010502
56993,368.23080283227637
56993,152.053178667481
56993,188.62787887795758
53137,164.3870117743489
15486,655.1268385740445
15486,145.78714989959968
52429,438.8408229057766
52429,154.05685133186603
22792,217.70234085275902
13198,219.6787241026099
85908,242.03183872164058
27633,345.93560838155287
15486,580.9907655855841
44820,228.74883307511143
22641,93.26396596679392
96737,119.7290839584714
77463,47.516958699122135
77463,422.13694992207087
77463,104.88264944564608
47257,376.1441496019932
17587,135.2556532675374
77463,61.97107828060703
77463,442.6230674043756
77463,131.76133450400536
31863,340.5630738289043
13198,1675.515410489654
91164,1096.2134018245458
31863,168.30063261868014
60542,78.61330220762551
71951,343.8990626162941
73718,122.14097464506679
11712,1196.8413874353562
82992,121.96710425113676
37371,151.28850152779268
82992,261.1652093524999
98861,110.89071816862352
98861,191.54364686720433
26161,4536.772631843991
16089,367.69379564225153
53168,269.9582180622217
82992,114.25589283549944
82992,379.1239253508409
11929,287.9749667467912
86647,934.3579423481398
52389,631.5794121064247
52389,1399.0184251783228
52389,83.15046982382455
69579,968.2289427581458
69579,256.9400056706855
51206,504.64705932316946
23178,184.31206348303917
23178,586.6245056454692
55429,319.1419671870856
55429,253.69551278264103
23178,546.7226545286469
37337,408.10406405152025
37337,440.11174246464935
17854,1766.633540579002
24974,311.77415841326285
17854,499.94644161048564
24974,2793.1994702948436
88796,94.7260952697758
80081,323.3348829239784
80081,133.68841087646229
80081,956.1606142227133
78137,170.16352911530973
78137,373.5751045676204
53168,243.41020345843395
12075,219.2977697671293
12075,630.2916458247676
13476,240.2609513672984
13476,949.2676954372203
87124,238.1367293028529
83412,171.49520883392404
86345,142.77557631482426
35062,86.08788102008651
35062,207.91134726253532
35062,323.6564390882378
60337,318.0751014947203
40986,1022.7903344351387
86261,135.93913807453356
86261,775.8996197735544
86261,519.1898207631141
40986,1236.3132101717806
32283,496.90466745897913
88142,216.42002117009514
76088,483.34085362197953
76088,181.60685406478595
18524,246.62595990859646
88142,341.5706567182533
88142,344.20248582145217
88142,305.61012403561614
56083,173.5976657904209
16555,204.13223460687098
86053,717.340280467361
55717,3097.0480347018183
58170,677.702724542592
58170,581.0570354859784
37856,169.72816188538087
43059,968.6257253953039
43059,467.38070015110185
52389,717.3215017818248
52389,472.9758237498213
44802,166.3025375791377
37856,74.3727064083853
37856,200.20404458647354
60506,327.89988085577005
60337,163.84331091612992
60337,163.74375748726706
88295,258.24868389583725
94166,295.4475702369908
94166,197.8244793414159
47771,165.53313765483162
52297,168.1330872916068
52297,453.49260057259903
52297,755.9955764524674
30366,425.56773606339857
60778,743.6389714678398
30366,371.036952245444
42809,277.913134586252
22081,115.80344340687692
10165,131.64470488749026
10165,35.33206358447825
10165,734.516651957687
65762,392.21087975861315
65762,265.8519677963723
65762,702.8122520172104
32189,118.66779259140938
32189,92.67877469171762
19847,850.1615542678283
19847,481.49730658558167
32189,333.6492029685923
23822,331.29868472095905
31072,1055.681452958324
94403,148.76108279674744
94403,170.19626297149625
94403,252.44585787154392
94403,147.99909235233724
94166,185.30646232157207
94166,91.7810308043207
94403,205.40974253150037
94403,254.69716385018168
10646,169.36462675403774
10646,78.50401239911645
35062,402.24516669066236
15665,131.95318070066938
72332,418.82060223632345
47771,387.71160296758313
47257,102.56661136730995
47257,614.4903323230884
79072,133.96492353693608
72332,250.26093715190342
72332,377.75171436205267
66551,266.4015749899388
